Province Name,Province Code,Year,Wheat,Maize,Rice,Sorghum,Barley,Millet,Potato,Sweetpotato,Soybean,Groundnuts,Sunflower,Rapeseed,Sugarbeet,Sugarcane,Cotton,Spinach,Tomato,Cabbage,Apple,Grape,Tea,Tobacco
Beijing,1,1979,324.0,595.704498,0.0,0.0,0.0,196.7,4.18196752,0.0,0.0,50.9,0.544,0.0,0.0,0.0,0.0,4.906,0.0,10.82,0.28,0.728,0.0,0.34329301
Beijing,1,1980,237.001987999999,577.292573,0.0,0.0,0.0,210.1712566,4.001708,0.0,0.0,59.71111409,0.4168461,0.0,0.0,0.0,0.0,3.33303832,0.0,8.55304551,0.306101409999999,0.652284,0.0,0.412819269999999
Beijing,1,1981,317.0,590.641726,0.0,0.0,0.0,206.6,3.51434966999999,0.0,0.0,57.7,0.729,0.0,0.0,0.0,0.0,2.701,0.0,6.25299999999999,0.38,0.6579,0.0,0.39883229
Beijing,1,1982,400.018975,615.517766,0.0,0.0,0.0,203.0565978,3.58180655,0.0,0.0,60.2767448799999,0.40972695,0.0,0.0,0.0,0.0,3.31622987,0.0,7.64770636,0.32654675,0.88435478,0.0,0.44923669
Beijing,1,1983,589.0,774.065342,0.0,0.0,0.0,215.9,2.91665076,0.0,0.0,58.6,1.075,0.0,0.0,0.0,0.0,3.13,0.0,6.38,0.7,0.883,0.0,0.47640784
Beijing,1,1984,545.0,694.024426,0.0,0.0,0.0,219.0,2.86490547,0.0,0.0,63.3,1.11,0.0,0.0,0.0,0.0,3.18799999999999,0.0,6.215,0.86,0.881999999999999,0.0,0.49816411
Beijing,1,1985,535.0,612.175165,0.0,0.0,0.0,206.7,3.08364459,0.0,0.0,67.1,0.663,0.0,0.0,0.0,0.0,3.084,0.0,6.43,0.917,1.063,0.0,0.447597669999999
Beijing,1,1986,470.0,682.679026,0.0,0.0,0.0,212.8,3.16424393,0.0,0.0,61.5,1.126,0.0,0.0,0.0,0.0,2.71599999999999,0.0,6.142,0.914,0.992,0.0,0.38438388
Beijing,1,1987,425.0,634.32651,0.0,0.0,0.0,189.1,2.75542244,0.0,0.0,51.7,1.089,0.0,0.0,0.0,0.0,1.584,0.0,5.046,0.861,0.931999999999999,0.0,0.35324022
Beijing,1,1988,463.0,724.409811,0.0,0.0,0.0,160.5,2.79795863,0.0,0.0,58.2,1.161,0.0,0.0,0.0,0.0,1.95,0.0,6.13,0.865,0.99,0.0,0.35740352
Beijing,1,1989,501.0,602.545205,0.0,0.0,0.0,131.6,2.68960811,0.0,0.0,64.1,0.585,0.0,0.0,0.0,0.0,1.854,0.0,5.898,0.853,1.112,0.0,0.432575879999999
Beijing,1,1990,460.0,707.832894,0.0,0.0,0.0,158.6,2.81416284999999,0.0,0.0,57.8,1.157,0.0,0.0,0.0,0.0,2.058,0.0,5.94799999999999,1.59,1.0,0.0,0.3448845
Beijing,1,1991,590.0,721.518167,0.0,0.0,0.0,120.199999999999,2.9691673,0.0,0.0,65.1999999999999,0.9,0.0,0.0,0.0,0.0,2.033,0.0,5.958,1.24,1.075,0.0,0.25065921
Beijing,1,1992,660.0,772.00647,0.0,0.0,0.0,109.699999999999,2.87341396999999,0.0,0.0,70.5,1.303,0.0,0.0,0.0,0.0,2.057,0.0,6.21,1.61,1.014,0.0,0.265202379999999
Beijing,1,1993,677.0,664.03688,0.0,0.0,0.0,86.7,2.70883935,0.0,0.0,82.6999999999999,1.62,0.0,0.0,0.0,0.0,2.10699999999999,0.0,5.585,1.79,1.029,0.0,0.22443986
Beijing,1,1994,627.0,832.450785,0.0,0.0,0.0,83.1,2.98504837,0.0,0.0,88.0,2.585,0.0,0.0,0.0,0.0,2.199,0.0,6.611,2.42,1.106,0.0,0.37910801
Beijing,1,1995,693.0,723.675078,0.0,0.0,0.0,65.5,2.75879639999999,0.0,0.0,122.7,4.336,0.0,0.0,0.0,0.0,2.55199999999999,0.0,7.461,2.63,1.387,0.0,0.39382014
Beijing,1,1996,623.0,789.988626,0.0,0.0,0.0,56.7399999999999,2.44071182999999,0.0,0.0,98.6,7.339,0.0,0.0,0.0,0.0,2.405,0.0,8.09,3.34,1.498,0.0,0.23209921
Beijing,1,1997,629.0,788.269423,0.0,0.0,0.0,47.8,2.51255364,0.0,0.0,94.4,5.37,0.0,0.0,0.0,0.0,2.57,0.0,8.61,2.67,1.83999999999999,0.0,0.25738359
Beijing,1,1998,734.0,746.466739,0.0,0.0,0.0,50.4,2.62050939,0.0,0.0,97.0,6.11,0.0,0.0,0.0,0.0,3.181,0.0,9.57,2.93,2.305,0.0,0.15638457
Beijing,1,1999,713.0,889.874214,0.0,0.0,0.0,61.4,2.67794629,0.0,0.0,88.7,6.49,0.0,0.0,0.0,0.0,3.682,0.0,10.41,3.58,2.886,0.0,0.27271382
Beijing,1,2000,733.0,740.070003,0.0,0.0,0.0,57.3,3.79594053,0.0,0.0,81.5,1.062,0.0,0.0,0.0,0.0,3.294,0.0,10.12,3.77,3.63,0.0,0.29928092
Beijing,1,2001,697.0,799.596257,0.0,0.0,0.0,52.9,4.77715846,0.0,0.0,74.0,1.027,0.0,0.0,0.0,0.0,3.248,0.0,10.23,3.43,3.76,0.0,0.14457725
Beijing,1,2002,655.0,851.792884,0.0,0.0,0.0,53.2,3.41051083,0.0,0.0,78.6,0.722,0.0,0.0,0.0,0.0,3.097,0.0,9.54,4.69,4.6,0.0,0.24876352
Beijing,1,2003,699.0,1055.70084,0.0,0.0,0.0,55.0,5.96965434,0.0,0.0,84.8,1.565,0.0,0.0,0.0,0.0,3.394,0.0,10.91,6.87,6.77,0.0,0.26113702
Beijing,1,2004,614.0,1004.806821,0.0,0.0,0.0,41.05,3.95719617,0.0,0.0,73.0,0.4967,0.0,0.0,0.0,0.0,3.389,0.0,10.67,8.5,8.17,0.0,0.41441113
Beijing,1,2005,690.0,885.933226,0.0,0.0,0.0,31.4,3.49855127,0.0,0.0,67.1,0.0,0.0,0.0,0.0,0.0,3.677,0.0,11.09,9.38,8.58,0.0,0.25975477
Beijing,1,2006,735.0,882.524551,0.0,0.0,0.0,27.52,0.0,0.0,0.0,70.7,0.0,0.0,0.0,0.0,0.0,3.956,0.0,11.2199999999999,8.9,8.61,0.0,0.26098354
