,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
0,2003,河源-兰州,取水量,1.86,0.94,0.72,0.09,0.0,0.1,0.0,0.1,0.0,0.01,0.03,0.02,0.04,0.0
1,2003,河源-兰州,耗水量,1.57,0.82,0.62,0.06,0.0,0.07,0.0,0.03,0.0,0.0,0.01,0.0,0.02,0.0
2,2003,兰州-头道拐,取水量,31.15,20.32,2.21,6.97,0.31,1.3,0.04,5.71,1.37,0.09,2.6,0.42,1.12,0.11
3,2003,兰州-头道拐,耗水量,24.58,15.69,1.89,5.67,0.29,1.0,0.04,2.93,1.15,0.07,0.88,0.15,0.6,0.08
4,2003,头道拐-龙门,取水量,126.43,104.48,11.75,7.34,0.41,1.75,0.7,26.37,13.8,2.71,5.98,0.98,2.81,0.09
5,2003,头道拐-龙门,耗水量,91.72,74.47,10.34,4.74,0.31,1.18,0.68,19.67,12.04,2.35,3.19,0.46,1.58,0.05
6,2003,龙门-三门峡,取水量,7.02,4.91,0.93,0.77,0.04,0.34,0.03,5.7,2.77,0.63,1.42,0.06,0.8,0.02
7,2003,龙门-三门峡,耗水量,5.97,4.31,0.8,0.58,0.03,0.22,0.03,4.7,2.44,0.56,1.02,0.03,0.63,0.02
8,2003,三门峡-花园口,取水量,35.93,22.95,2.58,5.81,1.02,2.65,0.92,53.77,24.64,3.68,14.52,2.0,8.24,0.69
9,2003,三门峡-花园口,耗水量,29.12,19.63,2.16,3.78,0.92,1.72,0.91,36.86,20.7,3.09,6.59,0.83,5.04,0.61
10,2003,花园口-利津,取水量,13.17,7.55,0.57,3.21,0.3,1.24,0.3,16.32,6.42,0.81,5.76,0.38,2.35,0.6
11,2003,花园口-利津,耗水量,11.53,6.98,0.49,2.49,0.28,1.02,0.27,9.48,5.26,0.66,1.79,0.09,1.37,0.31
12,2003,利津-河口,取水量,78.89,58.33,0.49,9.18,1.63,4.67,4.59,22.9,16.4,1.41,2.72,0.16,2.17,0.04
13,2003,利津-河口,耗水量,77.75,57.62,0.45,8.91,1.63,4.56,4.58,17.43,13.45,1.15,1.05,0.09,1.67,0.02
14,2003,黄河内流区,取水量,1.59,0.56,0.99,0.02,0.0,0.02,0.0,2.21,1.63,0.4,0.14,0.0,0.04,0.0
15,2003,黄河内流区,耗水量,1.33,0.47,0.84,0.01,0.0,0.01,0.0,1.78,1.34,0.33,0.08,0.0,0.03,0.0
16,2003,合计,取水量,296.04,220.05,20.24,33.39,3.71,12.07,6.58,133.08,67.03,9.74,33.17,4.02,17.57,1.55
17,2003,合计,耗水量,243.57,179.99,17.59,26.24,3.46,9.78,6.51,92.88,56.38,8.21,14.61,1.65,10.94,1.09
18,2004,河源-兰州,取水量,1.86,0.94,0.72,0.09,0.01,0.1,0.0,0.1,0.0,0.02,0.02,0.02,0.04,0.0
19,2004,河源-兰州,耗水量,1.65,0.85,0.66,0.06,0.01,0.07,0.0,0.06,0.0,0.01,0.01,0.01,0.03,0.0
20,2004,兰州-头道拐,取水量,30.52,20.33,2.31,6.18,0.33,1.33,0.04,6.79,1.37,0.09,3.63,0.44,1.15,0.11
21,2004,兰州-头道拐,耗水量,24.12,15.62,1.97,5.16,0.31,1.02,0.04,3.48,1.15,0.08,1.4,0.19,0.58,0.08
22,2004,头道拐-龙门,取水量,145.79,121.25,15.3,6.71,0.6,1.46,0.47,24.93,13.66,2.48,4.99,1.05,2.43,0.32
23,2004,头道拐-龙门,耗水量,100.48,81.96,12.29,4.02,0.49,1.26,0.46,18.81,11.97,2.15,2.5,0.55,1.4,0.24
24,2004,龙门-三门峡,取水量,7.29,5.04,0.56,1.33,0.05,0.3,0.01,6.21,3.48,0.72,1.05,0.1,0.82,0.04
25,2004,龙门-三门峡,耗水量,6.18,4.42,0.48,1.02,0.05,0.2,0.01,5.13,3.07,0.63,0.65,0.06,0.68,0.04
26,2004,三门峡-花园口,取水量,38.97,25.55,2.71,5.71,1.12,3.31,0.57,52.83,24.24,3.78,14.04,2.13,8.21,0.43
27,2004,三门峡-花园口,耗水量,31.87,22.05,2.31,3.77,1.01,2.17,0.56,37.32,20.37,3.17,6.63,1.05,5.75,0.35
28,2004,花园口-利津,取水量,13.85,7.88,0.89,3.21,0.3,1.15,0.42,17.59,7.02,0.95,6.35,0.35,2.34,0.58
29,2004,花园口-利津,耗水量,12.22,7.35,0.76,2.49,0.28,0.96,0.38,10.22,5.76,0.78,1.9,0.13,1.5,0.15
30,2004,利津-河口,取水量,72.92,53.34,0.44,7.95,1.61,4.37,5.21,21.74,14.81,1.46,2.9,0.2,2.29,0.08
31,2004,利津-河口,耗水量,71.75,52.57,0.39,7.73,1.6,4.26,5.2,16.29,12.14,1.2,1.25,0.11,1.54,0.05
32,2004,黄河内流区,取水量,0.82,0.79,0.02,0.0,0.0,0.01,0.0,2.54,1.67,0.65,0.14,0.02,0.05,0.01
33,2004,黄河内流区,耗水量,0.7,0.67,0.02,0.0,0.0,0.01,0.0,2.02,1.37,0.53,0.08,0.0,0.04,0.0
34,2004,合计,取水量,312.02,235.12,22.95,31.18,4.02,12.03,6.72,132.73,66.25,10.15,33.12,4.31,17.33,1.57
35,2004,合计,耗水量,248.97,185.49,18.88,24.25,3.75,9.95,6.65,93.33,55.83,8.55,14.42,2.1,11.52,0.91
36,2005,河源-兰州,取水量,1.82,0.93,0.66,0.1,0.01,0.12,0.0,0.12,0.0,0.02,0.03,0.02,0.05,0.0
37,2005,河源-兰州,耗水量,1.59,0.84,0.6,0.06,0.01,0.08,0.0,0.07,0.0,0.02,0.01,0.01,0.03,0.0
38,2005,兰州-头道拐,取水量,29.07,20.6,1.47,5.23,0.34,1.31,0.12,6.02,1.42,0.03,2.9,0.44,1.08,0.15
